OTU_ID,Lotus200,Lotus201,Lotus202,Lotus204,MockLabS3,NegContDNA1S79,NegContDNA2S80,NegContPCRS1,taxonomy
OTU_16,0,0,0,0,0,0,0,0,Tomentella_sp|KP745608|SH527169.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp
OTU_17,0,0,0,0,0,0,0,0,Atractiellales_sp|KF428440|SH206996.07FU|reps|k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__unidentified;g__unidentified;s__Atractiellales_sp
OTU_18,0,0,0,0,0,0,0,0,Tomentella_sp|KP745608|SH527169.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp
OTU_20,0,0,0,0,0,0,0,0,Polyporales_sp|EU030178|SH187248.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__unidentified;g__unidentified;s__Polyporales_sp
OTU_21,0,0,0,0,0,0,0,0,Agaricomycetes_sp|JX042694|SH220644.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp
OTU_23,0,0,3,1,0,0,0,0,Fungi_sp|JX327276|SH524655.07FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_24,0,0,0,0,0,0,0,0,Pyrenochaetopsis_leptospora|JF740262|SH198996.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora
OTU_25,0,0,0,0,0,0,0,0,Pleosporales_sp|KC771502|SH180412.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_26,0,0,0,0,0,0,0,0,Humicola_sp|EU479762|SH219222.07FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_sp
OTU_27,0,0,0,0,0,0,0,0,Clitopilus_sp|DQ672271|SH190265.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_sp
OTU_29,0,1,0,0,0,0,0,0,Clavulinaceae_sp|JX198537|SH220237.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__unidentified;s__Clavulinaceae_sp
OTU_30,0,0,0,0,0,0,0,0,Thelephoraceae_sp|KF836011|SH189460.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__Thelephoraceae_sp
OTU_32,0,0,0,0,0,0,0,0,Mortierella_thereuopodae|AB862878|SH180180.07FU|reps|k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_thereuopodae
OTU_33,0,0,0,0,0,0,0,0,Pyrenochaeta_sp|EU750693|SH183897.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pyrenochaeta;s__Pyrenochaeta_sp
OTU_34,0,0,0,0,6281,0,0,0,Cortinarius_ochraceobrunneus|KF732359|SH215616.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_ochraceobrunneus
OTU_35,0,0,0,0,0,0,0,0,Pyrofomes_demidoffii|JX968555|SH179666.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Pyrofomes;s__Pyrofomes_demidoffii
OTU_37,0,0,0,0,0,0,0,0,Ganodermataceae_sp|FJ154778|SH175172.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__unidentified;s__Ganodermataceae_sp
OTU_38,0,0,0,0,0,0,1,0,Fungi_sp|HM123225|SH221352.07FU|refs|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_40,0,0,0,0,0,0,0,0,Mortierella_ambigua|JX976067|SH201572.07FU|reps|k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_ambigua
OTU_41,0,0,0,0,0,0,0,0,Mycosphaerellaceae_sp|KP235778|SH529412.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp
OTU_42,0,0,0,0,0,0,0,0,Aspergillus_janus|EF669582|SH194617.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_janus
OTU_45,0,0,0,0,0,0,0,0,Penicillium_restrictum|AF038938|SH086749.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_restrictum
OTU_46,0,0,0,0,0,0,0,0,Hygrocybe_helobia|EU784330|SH196014.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__Hygrocybe_helobia
OTU_48,0,0,0,0,0,0,0,0,Geastrum_saccatum|KC581969|SH210895.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_saccatum
OTU_50,0,0,0,0,0,0,0,0,Aspergillus_ustus|EF591736|SH186268.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_ustus
OTU_51,0,0,0,0,0,0,0,0,Dichomitus_squalens|AM988622|SH175170.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Dichomitus;s__Dichomitus_squalens
OTU_52,0,0,0,0,0,0,0,0,Agaricaceae_sp|KR155069|SH534890.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__unidentified;s__Agaricaceae_sp
OTU_53,0,0,0,0,0,0,0,0,Venturiales_sp|JX456784|SH182134.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unidentified;g__unidentified;s__Venturiales_sp
OTU_54,0,0,0,1,0,0,0,0,Didymosphaeriaceae_sp|KP843455|SH526154.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__unidentified;s__Didymosphaeriaceae_sp
OTU_56,0,0,0,0,0,0,0,0,Ganoderma_lucidum|GQ249884|SH187219.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;s__Ganoderma_lucidum
OTU_58,0,0,0,0,0,0,0,0,Fungi_sp|JQ388924|SH181600.07FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_61,0,0,0,0,1,0,0,0,Hypocreales_sp|FN397264|SH176583.07FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__Hypocreales_sp
OTU_63,0,0,0,0,0,0,0,0,Pyrenochaeta_sp|EU750693|SH183897.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pyrenochaeta;s__Pyrenochaeta_sp
OTU_64,0,0,0,0,0,0,0,0,Geastrum_saccatum|KC581969|SH210895.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_saccatum
OTU_65,0,0,0,0,0,0,0,0,Pleosporales_sp|JX043181|SH206385.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_68,0,0,0,0,3486,0,0,0,Entoloma_abortivum|FJ596870|SH185815.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Entoloma_abortivum
OTU_70,0,0,0,0,0,0,0,0,Inocybaceae_sp|UDB004238|SH213446.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__unidentified;s__Inocybaceae_sp
OTU_71,0,0,0,0,1,0,0,0,Phoma_sp|AF502832|SH201322.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma;s__Phoma_sp
OTU_72,0,1,0,0,0,0,0,0,Capronia_sp|AF050257|SH198017.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia_sp
OTU_73,0,0,0,0,1,0,0,0,Clavulina_sp|EF025112|SH220236.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina;s__Clavulina_sp
OTU_74,0,0,0,0,0,0,0,0,Marasmius_siccus|FJ904989|SH218024.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius;s__Marasmius_siccus
OTU_75,0,0,0,0,0,0,0,0,Mortierella_wolfii|JN943805|SH217579.07FU|refs|k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_wolfii
OTU_76,0,0,0,0,0,0,0,0,Dothideomycetes_sp|AF373059|SH207563.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp
OTU_78,0,0,0,0,0,0,0,0,Tomentella_pisoniae|UDB002643|SH189373.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_pisoniae
OTU_81,0,0,0,0,0,0,0,0,Sebacina_sp|UDB004099|SH214696.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__Sebacina_sp
OTU_82,0,0,0,0,0,0,0,0,Mortierella_ambigua|JX976067|SH201572.07FU|reps|k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_ambigua
OTU_83,0,0,0,0,0,0,0,0,Pleosporales_sp|KM519673|SH524979.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_84,0,0,0,0,0,0,0,0,Pleosporales_sp|JX966643|SH180411.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_86,0,0,0,0,0,0,0,0,Archaeorhizomyces_sp|AF461620|SH180928.07FU|reps|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp
OTU_85,0,0,0,0,2264,0,0,0,Boletaceae_sp|UDB000458|SH218065.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__unidentified;s__Boletaceae_sp
OTU_87,0,0,0,0,0,0,0,0,Aspergillus_luppii|EF669617|SH194615.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_luppii
OTU_91,0,0,0,0,2585,0,0,0,Tricholoma_columbetta|UDB015390|SH220595.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_columbetta
OTU_93,0,0,0,0,2538,0,0,0,Pholiota_spumosa|UDB017957|SH219737.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Pholiota;s__Pholiota_spumosa
OTU_94,0,0,0,0,0,0,0,0,Cantharellales_sp|JF449720|SH199649.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__unidentified;g__unidentified;s__Cantharellales_sp
OTU_95,0,0,0,0,0,0,0,0,Herpotrichiellaceae_sp|JX317508|SH199271.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__Herpotrichiellaceae_sp
OTU_96,0,0,0,0,0,0,0,0,Sebacina_sp|UDB004034|SH199501.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__Sebacina_sp
OTU_98,0,0,0,0,0,0,0,0,Clitopilus_sp|DQ672271|SH190265.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_sp
OTU_99,0,0,0,0,0,0,0,0,Phoma_sp|DQ092529|SH211030.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma;s__Phoma_sp
OTU_101,0,0,0,0,0,0,0,0,Pleosporales_sp|KM519673|SH524979.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_102,0,0,0,0,0,0,0,0,Tomentella_sp|UDB010543|SH189385.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp
OTU_103,0,0,0,0,0,0,0,0,Clavulina_sp|EF025112|SH220236.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina;s__Clavulina_sp
OTU_104,0,0,0,0,0,0,0,0,Herpotrichiellaceae_sp|DQ420732|SH199201.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__Herpotrichiellaceae_sp
OTU_105,0,0,0,0,0,0,0,0,Trichosporon_scarabaeorum|JN943752|SH182014.07FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_scarabaeorum
OTU_106,0,0,0,0,0,0,0,0,Aspergillus_polyporicola|EF669595|SH194611.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_polyporicola
OTU_107,0,0,0,0,0,0,0,0,Fungi_sp|KF800655|SH211110.07FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_109,0,0,0,0,0,0,0,0,Thelephoraceae_sp|UDB004980|SH201351.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__Thelephoraceae_sp
OTU_110,0,0,0,0,0,0,0,0,Agaricomycetes_sp|JX042694|SH220644.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp
OTU_111,0,0,0,0,0,0,0,0,Agaricomycetes_sp|JX042694|SH220644.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp
OTU_112,0,0,0,0,0,0,0,0,Umbelopsis_sp|AB813149|SH196097.07FU|reps|k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
OTU_113,0,0,0,0,0,0,0,0,Dothideomycetes_sp|AF373059|SH207563.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp
OTU_115,0,0,0,0,0,0,0,0,Lasiodiplodia_jatrophicola|KF234544|SH419901.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_jatrophicola
OTU_117,0,0,0,0,0,0,0,0,Mortierellaceae_sp|KF212222|SH191821.07FU|reps|k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__unidentified;s__Mortierellaceae_sp
OTU_118,0,0,0,0,0,0,0,0,Dothideomycetes_sp|AF373059|SH207563.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp
OTU_119,0,3,1290,60,258,0,0,0,Suillus_americanus
OTU_120,0,0,0,0,0,0,0,0,Penicillium_miczynskii|GU944606|SH194613.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_miczynskii
OTU_121,0,0,0,0,0,0,0,0,Polyporales_sp|EF059994|SH187220.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__unidentified;g__unidentified;s__Polyporales_sp
OTU_122,0,0,0,0,0,0,0,0,Sebacinaceae_sp|HM488519|SH197132.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__unidentified;s__Sebacinaceae_sp
OTU_123,0,0,0,0,0,0,0,0,Thelephoraceae_sp|FJ807968|SH189432.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__Thelephoraceae_sp
OTU_124,0,0,0,0,0,0,0,0,Geoglossum_umbratile|EU784258|SH201089.07FU|reps|k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum;s__Geoglossum_umbratile
OTU_125,0,0,0,0,0,0,0,0,Cladophialophora_sp|KR093936|SH529256.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp
OTU_127,0,0,0,0,0,0,0,0,Thelephoraceae_sp|FJ807968|SH189432.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__Thelephoraceae_sp
OTU_128,0,0,0,0,0,0,0,0,Scleroderma_sp|UDB004971|SH083227.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Sclerodermataceae;g__Scleroderma;s__Scleroderma_sp
OTU_129,0,0,0,0,0,0,0,0,Archaeorhizomyces_sp|JX042816|SH181604.07FU|reps|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp
OTU_130,0,0,0,0,0,0,0,0,Trichocomaceae_sp|EU448266|SH186282.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__unidentified;s__Trichocomaceae_sp
OTU_131,0,0,0,0,0,0,0,0,Exophiala_bergeri|KP132024|SH525607.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_bergeri
OTU_132,0,0,0,0,0,0,0,0,Sebacinaceae_sp|UDB004981|SH199499.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__unidentified;s__Sebacinaceae_sp
OTU_134,0,0,0,0,0,0,0,0,Aplosporella_africana|EU101315|SH193867.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_africana
OTU_135,0,0,0,0,0,0,0,0,Aspergillus_westlandensis|EF661411|SH207600.07FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_westlandensis
OTU_137,0,0,0,0,0,0,0,0,Amauroderma_calcigenum|JX310851|SH188272.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Amauroderma;s__Amauroderma_calcigenum
OTU_138,0,0,1,0,941,0,0,0,Thelephoraceae_sp|EU427330|SH184510.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__Thelephoraceae_sp
OTU_139,0,0,0,0,0,0,0,0,Geastrum_floriforme|KC581983|SH211470.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_floriforme
OTU_140,0,0,0,0,0,0,0,0,Venturiales_sp|JX456784|SH182134.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unidentified;g__unidentified;s__Venturiales_sp
OTU_142,0,0,0,0,0,0,0,0,Coniothyrium_prosopidis|EF159550|SH186599.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Coniothyrium;s__Coniothyrium_prosopidis
